Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-1.025899,0,-1.025899,9.405505,-1.025899,0,0.000374,,-1.025899,Method Settings,0,-0.123583
-1.025146,-1.137723,-1.024392,9.407421,-1.018362,0,,,-1.025824,Equilibration,0.000754,-0.123581
-1.024392,-1.158559,-1.022885,9.407501,-1.010825,0,,,-0.002948,Sample Application,0.001507,-0.12358
-1.023639,-1.174874,-1.021378,9.407553,-1.003289,0,,,0.996941,Elution,0.002261,-0.123578
-1.022885,-1.18906,-1.019871,9.412299,-0.995752,0,,,,,0.003014,-0.123576
-1.022132,-1.201383,-1.018364,9.412131,-0.988215,0,,,,,0.003767,-0.123575
-1.021378,-1.212163,-1.016858,9.412082,-0.980678,0,,,,,0.004521,-0.123573
-1.020625,-1.331402,-1.015351,9.412039,-0.973141,0,,,,,0.005275,-0.123571
-1.019871,-1.454294,-1.013844,9.412076,-0.965604,0,,,,,0.006028,-0.12357
-1.019118,-1.00003,-1.012337,9.412269,-0.958067,0,,,,,0.006782,-0.123568
-1.018364,-0.729004,-1.01083,9.412643,-0.95053,0,,,,,0.007535,-0.123567
-1.017611,-0.567089,-1.009323,9.413162,-0.942993,0,,,,,0.008289,-0.123565
-1.016857,-0.544686,-1.007816,9.413659,-0.935456,0,,,,,0.009042,-0.123563
-1.016104,-0.543664,-1.006309,9.414277,-0.927919,0,,,,,0.009796,-0.123562
-1.01535,-0.543379,-1.004802,9.414841,-0.920382,0,,,,,0.010549,-0.12356
-1.014597,-0.543819,-1.003295,9.415301,-0.912845,0,,,,,0.011303,-0.123559
-1.013843,-0.544286,-1.001788,9.415717,-0.905308,0,,,,,0.012056,-0.123557
-1.01309,-0.544091,-1.000281,9.416109,-0.897772,0,,,,,0.01281,-0.123555
-1.012336,-0.543599,-0.998774,9.416437,-0.890235,0,,,,,0.013563,-0.123554
-1.011583,-0.54335,-0.997267,9.416711,-0.882698,0,,,,,0.014317,-0.123552
-1.010829,-0.543257,-0.99576,9.416991,-0.875161,0,,,,,0.01507,-0.123551
-1.010076,-0.543349,-0.994253,9.417244,-0.867624,0,,,,,0.015824,-0.123549
-1.009322,-0.54387,-0.992746,9.41748,-0.860087,0,,,,,0.016577,-0.123547
-1.008569,-0.543611,-0.991239,9.417629,-0.85255,0,,,,,0.017331,-0.123545
-1.007815,-0.543312,-0.989732,9.417658,-0.845013,0,,,,,0.018084,-0.123544
-1.007062,-0.543421,-0.988225,9.417538,-0.837476,0,,,,,0.018838,-0.123542
-1.006308,-0.543712,-0.986718,9.417107,-0.829939,0,,,,,0.019591,-0.12354
-1.005555,-0.544155,-0.985211,9.416462,-0.822402,0,,,,,0.020345,-0.123539
-1.004801,-0.544474,-0.983704,9.415695,-0.814865,0,,,,,0.021098,-0.123537
-1.004048,-0.54441,-0.982197,9.414724,-0.807329,0,,,,,0.021852,-0.123535
-1.003294,-0.544244,-0.98069,9.41363,-0.799792,0,,,,,0.022605,-0.123533
-1.002541,-0.409667,-0.979183,9.412539,-0.792255,0,,,,,0.023359,-0.123532
-1.001787,-0.000051,-0.977677,9.411358,-0.784718,0,,,,,0.024112,-0.12353
-1.001034,-0.000286,-0.97617,9.410061,-0.777181,0,,,,,0.024866,-0.123529
-1.00028,-0.001457,-0.974663,9.408772,-0.769644,0,,,,,0.025619,-0.123527
-0.999527,-0.001834,-0.973156,9.407539,-0.762107,0,,,,,0.026373,-0.123525
