Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-1.025473,0.084549,-1.025473,9.396891,-1.025473,0,-0.000233,,-1.025473,Method Settings,0,-1.208363
-1.024794,0.605601,-1.024114,9.402083,-1.018679,0,,,-1.025385,Equilibration,0.000679,-1.208363
-1.024114,0.648358,-1.022755,9.402206,-1.011885,0,,,-0.002945,Sample Application,0.001359,-1.208363
-1.023435,0.681898,-1.021397,9.40238,-1.005091,0,,,0.996949,Elution,0.002038,-1.208363
-1.022756,0.70992,-1.020038,9.403527,-0.998297,0,,,,,0.002718,-1.208363
-1.022076,0.734934,-1.018679,9.403828,-0.991503,0,,,,,0.003397,-1.208363
-1.021397,0.75763,-1.01732,9.40366,-0.984709,0,,,,,0.004076,-1.208363
-1.020717,0.812498,-1.015961,9.403481,-0.977915,0,,,,,0.004756,-1.208363
-1.020038,0.994935,-1.014602,9.403443,-0.971121,0,,,,,0.005435,-1.208363
-1.019359,1.129861,-1.013243,9.403535,-0.964327,0,,,,,0.006115,-1.208363
-1.018679,1.125521,-1.011884,9.403653,-0.957533,0,,,,,0.006794,-1.208363
-1.018,1.12331,-1.010525,9.40384,-0.95074,0,,,,,0.007474,-1.208363
-1.01732,1.120565,-1.009166,9.404155,-0.943946,0,,,,,0.008153,-1.208363
-1.016641,1.11907,-1.007807,9.404604,-0.937152,0,,,,,0.008832,-1.208363
-1.015961,1.116309,-1.006448,9.405114,-0.930358,0,,,,,0.009512,-1.208363
-1.015282,1.114914,-1.005089,9.405618,-0.923564,0,,,,,0.010191,-1.208363
-1.014603,1.11268,-1.00373,9.406191,-0.91677,0,,,,,0.010871,-1.208363
-1.013923,1.110637,-1.002372,9.406777,-0.909976,0,,,,,0.01155,-1.208363
-1.013244,1.108977,-1.001013,9.40721,-0.903182,0,,,,,0.012229,-1.208363
-1.012564,1.107743,-0.999654,9.407602,-0.896388,0,,,,,0.012909,-1.208363
-1.011885,1.106894,-0.998295,9.407937,-0.889594,0,,,,,0.013588,-1.208363
-1.011205,1.106348,-0.996936,9.408248,-0.8828,0,,,,,0.014268,-1.208363
-1.010526,1.105101,-0.995577,9.408516,-0.876006,0,,,,,0.014947,-1.208363
-1.009847,1.104185,-0.994218,9.408741,-0.869212,0,,,,,0.015627,-1.208363
-1.009167,1.104086,-0.992859,9.408975,-0.862418,0,,,,,0.016306,-1.208363
-1.008488,1.103829,-0.9915,9.409201,-0.855624,0,,,,,0.016985,-1.208363
-1.007808,1.103474,-0.990141,9.409306,-0.84883,0,,,,,0.017665,-1.208363
-1.007129,1.103103,-0.988782,9.409313,-0.842036,0,,,,,0.018344,-1.208363
-1.00645,1.102719,-0.987423,9.40921,-0.835242,0,,,,,0.019024,-1.208363
-1.00577,1.102565,-0.986064,9.408967,-0.828448,0,,,,,0.019703,-1.208363
-1.005091,1.103312,-0.984706,9.408545,-0.821654,0,,,,,0.020383,-1.208363
-1.004411,1.103392,-0.983347,9.408013,-0.81486,0,,,,,0.021062,-1.208363
-1.003732,1.103132,-0.981988,9.407385,-0.808066,0,,,,,0.021741,-1.208363
-1.003052,1.102722,-0.980629,9.406663,-0.801272,0,,,,,0.022421,-1.208363
-1.002373,0.488252,-0.97927,9.405857,-0.794478,0,,,,,0.0231,-1.208363
-1.001694,0.000589,-0.977911,9.404986,-0.787684,0,,,,,0.02378,-1.208363
-1.001014,0.001257,-0.976552,9.40403,-0.78089,0,,,,,0.024459,-1.208363
