Volume,Abs
0.000374,-0.00177
0.001127,-0.001491
0.001881,-0.00187
0.002634,-0.001841
0.003388,-0.002492
0.004141,-0.002137
0.004895,-0.00185
0.005648,-0.000788
0.006402,0.000807
0.007156,0.002005
0.007909,0.002669
0.008662,0.002431
0.009416,0.002871
0.01017,0.003535
0.010923,0.004233
0.011677,0.004972
0.01243,0.005382
0.013183,0.005769
0.013937,0.006275
0.014691,0.005444
0.015444,0.004306
0.016198,0.003383
0.016951,0.002423
0.017704,0.001519
0.018458,0.00089
0.019212,0.000454
0.019965,-3.4e-05
0.020719,-0.000837
0.021472,-0.001512
0.022226,-0.001596
0.022979,-0.00197
0.023733,-0.002821
0.024486,-0.003869
0.02524,-0.004633
0.025993,-0.005015
0.026747,-0.005214
0.0275,-0.005112
0.028254,-0.005571
0.029007,-0.005503
0.029761,-0.005095
0.030514,-0.005886
0.031268,-0.006717
0.032021,-0.007189
0.032775,-0.00776
0.033528,-0.008426
0.034282,-0.008998
0.035035,-0.009725
0.035789,-0.010431
0.036542,-0.010919
0.037296,-0.011387
0.038049,-0.01196
0.038803,-0.013026
0.039556,-0.01435
0.04031,-0.014768
0.041063,-0.01496
0.041817,-0.015366
0.04257,-0.015996
0.043324,-0.017214
0.044077,-0.017699
0.044831,-0.018202
0.045584,-0.019045
0.046338,-0.020077
0.047091,-0.021531
0.047845,-0.023485
0.048598,-0.025259
0.049352,-0.026283
0.050105,-0.026742
0.050859,-0.027296
0.051612,-0.028183
0.052366,-0.028514
0.053119,-0.029267
0.053873,-0.030099
0.054626,-0.031116
0.05538,-0.03233
0.056133,-0.032389
0.056887,-0.032308
0.05764,-0.032088
0.058394,-0.031935
0.059147,-0.032585
0.059901,-0.033001
0.060654,-0.032955
0.061408,-0.033129
0.062161,-0.032883
0.062915,-0.032829
0.063668,-0.033203
0.064422,-0.034202
0.065175,-0.034422
0.065929,-0.034158
0.066682,-0.034304
0.067436,-0.03447
0.068189,-0.034344
0.068943,-0.034967
0.069696,-0.035491
0.07045,-0.03625
0.071203,-0.03683
0.071957,-0.037162
0.07271,-0.037277
0.073464,-0.037538
0.074217,-0.038047
0.074971,-0.038102
0.075724,-0.038197
0.076478,-0.038353
0.077231,-0.03825
0.077985,-0.038077
0.078738,-0.038488
0.079492,-0.038956
0.080245,-0.038918
0.080999,-0.038563
0.081752,-0.038538
0.082506,-0.039194
0.083259,-0.039661
0.084013,-0.040201
0.084767,-0.040238
0.08552,-0.039822
0.086273,-0.040049
0.087027,-0.04056
0.08778,-0.040737
0.088534,-0.040592
0.089288,-0.040345
0.090041,-0.039929
0.090794,-0.03948
0.091548,-0.039307
0.092301,-0.038642
0.093055,-0.038451
0.093809,-0.03861
0.094562,-0.03871
0.095315,-0.038554
0.096069,-0.038666
0.096823,-0.039288
0.097576,-0.040031
0.09833,-0.040439
0.099083,-0.040368
0.099837,-0.040655
0.10059,-0.040587
0.101344,-0.040975
0.102097,-0.041477
0.102851,-0.041688
0.103604,-0.041845
0.104358,-0.041941
0.105111,-0.041916
0.105865,-0.041246
0.106618,-0.039509
0.107372,-0.038817
0.108125,-0.036801
0.108879,-0.033864
0.109632,-0.029975
0.110386,-0.025824
0.111139,-0.022029
0.111893,-0.018078
0.112646,-0.014278
0.1134,-0.01032
0.114153,-0.005604
0.114907,-0.001076
0.11566,0.003042
0.116414,0.007169
0.117167,0.010742
0.117921,0.014914
0.118674,0.018777
0.119428,0.022332
0.120181,0.025273
0.120935,0.027803
0.121688,0.030258
0.122442,0.032974
0.123195,0.036348
0.123949,0.039688
0.124702,0.04367
0.125456,0.047496
0.126209,0.050808
0.126963,0.054044
0.127716,0.058146
0.12847,0.063321
0.129223,0.068044
0.129977,0.073067
0.13073,0.078606
0.131484,0.084168
0.132237,0.089753
0.132991,0.095593
0.133744,0.101257
0.134498,0.107071
0.135251,0.113148
0.136005,0.119425
0.136758,0.125639
0.137512,0.131468
0.138265,0.139204
0.139019,0.14651
0.139772,0.153233
0.140526,0.158932
0.141279,0.164532
0.142033,0.17038
0.142786,0.176565
0.14354,0.182877
0.144293,0.189161
0.145047,0.195287
0.1458,0.200819
0.146554,0.206428
0.147307,0.211865
0.148061,0.216305
0.148814,0.221217
0.149568,0.225068
0.150321,0.227707
0.151075,0.229727
0.151828,0.231378
0.152582,0.233076
0.153335,0.235123
0.154089,0.236315
0.154842,0.238104
0.155596,0.239074
0.156349,0.239999
0.157103,0.241576
0.157856,0.242498
0.15861,0.243709
0.159363,0.245293
0.160117,0.246989
0.16087,0.248817
0.161624,0.251226
0.162377,0.254636
0.163131,0.257246
0.163884,0.259762
0.164638,0.260874
0.165391,0.262591
0.166145,0.263856
0.166898,0.265248
0.167652,0.266525
0.168405,0.267472
0.169159,0.267884
0.169912,0.268027
0.170666,0.269257
0.17142,0.268858
0.172173,0.267158
0.172926,0.266033
0.17368,0.265341
0.174433,0.263782
0.175187,0.261608
0.175941,0.259462
0.176694,0.257244
0.177448,0.254882
0.178201,0.252943
0.178954,0.251267
0.179708,0.248179
0.180462,0.245961
0.181215,0.243699
0.181969,0.241678
0.182722,0.239924
0.183475,0.238181
0.184229,0.23638
0.184983,0.234282
0.185736,0.231653
0.18649,0.229676
0.187243,0.228187
0.187997,0.226268
0.18875,0.224437
0.189504,0.22255
0.190257,0.220366
0.191011,0.21796
0.191764,0.21594
0.192518,0.214508
0.193271,0.212087
0.194025,0.210246
0.194778,0.207723
0.195532,0.205991
0.196285,0.204214
0.197039,0.201953
0.197792,0.199085
0.198546,0.196018
0.199299,0.19357
0.200053,0.191907
0.200806,0.189927
0.20156,0.186964
0.202313,0.184454
0.203067,0.181951
0.20382,0.178341
0.204574,0.175842
0.205327,0.17358
0.206081,0.171278
0.206834,0.169188
0.207588,0.167005
0.208341,0.164338
0.209095,0.161731
0.209848,0.159241
0.210602,0.156411
0.211355,0.153746
0.212109,0.149655
0.212862,0.14649
0.213616,0.14475
0.214369,0.142903
0.215123,0.140224
0.215876,0.137522
0.21663,0.135451
0.217383,0.13334
0.218137,0.130929
0.21889,0.1286
0.219644,0.126464
0.220397,0.125232
0.221151,0.123451
0.221904,0.120961
0.222658,0.118729
0.223411,0.116766
0.224165,0.114369
0.224918,0.111696
0.225672,0.109642
0.226425,0.107326
0.227179,0.105535
0.227932,0.102821
0.228686,0.099666
0.229439,0.097602
0.230193,0.095494
0.230946,0.093163
0.2317,0.091156
0.232453,0.089685
0.233207,0.08833
0.23396,0.086209
0.234714,0.084503
0.235467,0.082713
0.236221,0.081173
0.236974,0.079465
0.237728,0.077447
0.238481,0.075549
0.239235,0.074218
0.239988,0.07346
0.240742,0.071894
0.241495,0.070319
0.242249,0.068832
0.243002,0.067462
0.243756,0.065779
0.244509,0.064036
0.245263,0.062548
0.246016,0.061059
0.24677,0.05934
0.247523,0.057895
0.248277,0.057034
0.24903,0.05493
0.249784,0.05408
0.250538,0.052535
0.251291,0.051907
0.252044,0.050857
0.252798,0.0501
0.253551,0.049651
0.254305,0.048943
0.255059,0.047601
0.255812,0.045881
0.256565,0.044856
0.257319,0.043987
0.258072,0.042497
0.258826,0.042
0.25958,0.041415
0.260333,0.040697
0.261086,0.039873
0.26184,0.038305
0.262594,0.036778
0.263347,0.036114
0.264101,0.035005
0.264854,0.033218
0.265608,0.032363
0.266361,0.03155
0.267115,0.030378
0.267868,0.029555
0.268622,0.028573
0.269375,0.027879
0.270129,0.027959
0.270882,0.02795
0.271636,0.027099
0.272389,0.026526
0.273143,0.025766
0.273896,0.024464
0.27465,0.023943
0.275403,0.023551
0.276157,0.022851
0.27691,0.021956
0.277664,0.020795
0.278417,0.01971
0.279171,0.018547
0.279924,0.017241
0.280678,0.016895
0.281431,0.016097
0.282185,0.01578
0.282938,0.015139
0.283692,0.013807
0.284445,0.013298
0.285199,0.012882
0.285952,0.012204
0.286706,0.011439
0.287459,0.01076
0.288213,0.01012
0.288966,0.009875
0.28972,0.009632
0.290473,0.009566
0.291227,0.009082
0.29198,0.008653
0.292734,0.008067
0.293487,0.007167
0.294241,0.006347
0.294994,0.005012
0.295748,0.004626
0.296501,0.003668
0.297255,0.003564
0.298008,0.00296
0.298762,0.002074
0.299515,0.001349
0.300269,0.000486
0.301022,-0.000679
0.301776,-0.001579
0.302529,-0.002041
0.303283,-0.003285
0.304036,-0.004062
0.30479,-0.004888
0.305543,-0.005112
0.306297,-0.005197
0.30705,-0.005382
0.307804,-0.005826
0.308557,-0.006428
0.309311,-0.006951
0.310064,-0.007357
0.310818,-0.007868
0.311571,-0.008678
0.312325,-0.010183
0.313078,-0.011324
0.313832,-0.011725
0.314585,-0.012135
0.315339,-0.012542
0.316092,-0.013368
0.316846,-0.014209
0.317599,-0.014753
0.318353,-0.014982
0.319106,-0.014771
0.31986,-0.014835
0.320613,-0.014757
0.321367,-0.013954
0.32212,-0.01443
0.322874,-0.015139
0.323627,-0.015727
0.324381,-0.016219
0.325134,-0.016351
0.325888,-0.01645
0.326641,-0.016868
0.327395,-0.01697
0.328148,-0.01697
0.328902,-0.017171
0.329655,-0.017336
0.330409,-0.017562
0.331162,-0.018603
0.331916,-0.018929
0.332669,-0.01924
0.333423,-0.019824
0.334176,-0.020319
0.33493,-0.020667
0.335683,-0.020955
0.336437,-0.020964
0.337191,-0.021056
0.337944,-0.020733
0.338697,-0.020913
0.339451,-0.021233
0.340204,-0.021516
0.340958,-0.021751
0.341712,-0.021972
0.342465,-0.022163
0.343219,-0.021949
0.343972,-0.02295
0.344725,-0.022956
0.345479,-0.023088
0.346233,-0.023674
0.346986,-0.024177
0.34774,-0.024926
0.348493,-0.026105
0.349247,-0.026902
0.35,-0.026957
0.350754,-0.026907
0.351507,-0.026784
0.352261,-0.026552
0.353014,-0.026671
0.353768,-0.026541
0.354521,-0.026548
0.355275,-0.026726
0.356028,-0.026706
0.356782,-0.026483
0.357535,-0.026309
0.358289,-0.025851
0.359042,-0.025579
0.359796,-0.026584
0.360549,-0.027587
0.361303,-0.028506
0.362056,-0.029409
0.36281,-0.030405
0.363563,-0.031012
0.364317,-0.03128
0.36507,-0.031834
0.365824,-0.032848
0.366577,-0.033714
0.367331,-0.034261
0.368084,-0.034632
0.368838,-0.034798
0.369591,-0.034923
0.370345,-0.034715
0.371098,-0.034718
0.371852,-0.035112
0.372605,-0.035557
0.373359,-0.036273
0.374112,-0.037598
0.374866,-0.037685
0.375619,-0.037807
0.376373,-0.038207
0.377126,-0.038425
0.37788,-0.038528
0.378633,-0.039015
0.379387,-0.039773
0.38014,-0.040568
0.380894,-0.041423
0.381647,-0.042125
0.382401,-0.042288
0.383154,-0.042853
0.383908,-0.043301
0.384661,-0.043496
0.385415,-0.043345
0.386168,-0.043403
0.386922,-0.043761
0.387675,-0.044256
0.388429,-0.045175
0.389182,-0.045565
0.389936,-0.044896
0.390689,-0.045011
0.391443,-0.045058
0.392196,-0.04603
0.39295,-0.046842
0.393703,-0.047576
0.394457,-0.048103
0.39521,-0.048563
0.395964,-0.048976
0.396717,-0.049044
0.397471,-0.049639
0.398224,-0.050557
0.398978,-0.050985
0.399731,-0.052075
0.400485,-0.053041
0.401238,-0.053184
0.401992,-0.052782
0.402745,-0.052609
0.403499,-0.05262
0.404252,-0.052267
0.405006,-0.052027
0.405759,-0.052257
0.406513,-0.05224
0.407266,-0.051689
0.40802,-0.051096
0.408773,-0.051135
0.409527,-0.051293
0.41028,-0.051531
0.411034,-0.0521
0.411787,-0.05291
0.412541,-0.053645
0.413294,-0.054286
0.414048,-0.054624
0.414801,-0.054474
0.415555,-0.05384
0.416308,-0.053947
0.417062,-0.053883
0.417815,-0.053704
0.418569,-0.053466
0.419322,-0.053495
0.420076,-0.053961
0.42083,-0.054311
0.421583,-0.053955
0.422336,-0.053595
0.42309,-0.052835
0.423844,-0.052698
0.424597,-0.052166
0.425351,-0.051553
0.426104,-0.05122
0.426857,-0.050979
0.427611,-0.051053
0.428365,-0.051174
0.429118,-0.050392
0.429872,-0.049399
0.430625,-0.048199
0.431379,-0.04869
0.432132,-0.048603
0.432886,-0.048578
0.433639,-0.048205
0.434393,-0.047878
0.435146,-0.047627
0.4359,-0.047485
0.436653,-0.04727
0.437407,-0.046863
0.43816,-0.04755
0.438914,-0.047423
0.439667,-0.046809
0.440421,-0.046665
0.441174,-0.046247
0.441928,-0.046051
0.442681,-0.045843
0.443435,-0.046069
0.444188,-0.046217
0.444942,-0.045865
0.445695,-0.046077
0.446449,-0.04607
0.447202,-0.046348
0.447956,-0.046105
0.448709,-0.045876
0.449463,-0.045889
0.450216,-0.045966
0.45097,-0.045972
0.451723,-0.045957
0.452477,-0.045522
0.45323,-0.045314
0.453984,-0.044592
0.454737,-0.044096
0.455491,-0.043722
0.456244,-0.043615
0.456998,-0.043628
0.457751,-0.043524
0.458505,-0.043538
0.459258,-0.043988
0.460012,-0.044623
0.460765,-0.045363
0.461519,-0.045159
0.462272,-0.044787
0.463026,-0.045116
0.463779,-0.045456
0.464533,-0.046217
0.465286,-0.046653
0.46604,-0.046617
0.466793,-0.046949
0.467547,-0.047833
0.4683,-0.048213
0.469054,-0.048648
0.469807,-0.048656
0.470561,-0.049628
0.471314,-0.050001
0.472068,-0.050272
0.472821,-0.050189
0.473575,-0.05014
0.474328,-0.050536
0.475082,-0.051013
0.475835,-0.051113
0.476589,-0.051288
0.477342,-0.051261
0.478096,-0.05087
0.478849,-0.050965
0.479603,-0.05031
0.480356,-0.049948
0.48111,-0.049954
0.481863,-0.050119
0.482617,-0.050253
0.48337,-0.050273
0.484124,-0.050248
0.484877,-0.050252
0.485631,-0.04987
0.486384,-0.049877
0.487138,-0.049637
0.487891,-0.049577
0.488645,-0.049281
0.489398,-0.049247
0.490152,-0.049601
0.490905,-0.049952
0.491659,-0.050013
0.492412,-0.049906
0.493166,-0.049919
0.493919,-0.050601
0.494673,-0.04995
0.495426,-0.050222
0.49618,-0.049968
0.496933,-0.049598
0.497687,-0.049535
0.498441,-0.049634
0.499194,-0.049648
0.499947,-0.049574
0.500701,-0.049523
0.501454,-0.049307
0.502208,-0.048746
0.502962,-0.048532
0.503715,-0.048694
0.504468,-0.049015
0.505222,-0.04907
0.505975,-0.048545
0.506729,-0.047761
0.507483,-0.047609
0.508236,-0.048662
0.50899,-0.04785
0.509743,-0.047818
0.510496,-0.047709
0.51125,-0.047136
0.512004,-0.046247
0.512757,-0.045645
0.513511,-0.045404
0.514264,-0.045274
0.515018,-0.045183
0.515771,-0.044274
0.516525,-0.043382
0.517278,-0.042646
0.518032,-0.042221
0.518785,-0.042013
0.519539,-0.041919
0.520292,-0.042189
0.521046,-0.042352
0.521799,-0.042057
0.522553,-0.041567
0.523306,-0.041093
0.52406,-0.040765
0.524813,-0.040395
0.525567,-0.039856
0.52632,-0.039493
0.527074,-0.039795
0.527827,-0.039797
0.528581,-0.039449
0.529334,-0.039271
0.530088,-0.039203
0.530841,-0.039027
0.531595,-0.039117
0.532348,-0.038523
0.533102,-0.03839
0.533855,-0.038203
0.534609,-0.037821
0.535362,-0.037197
0.536116,-0.03672
0.536869,-0.036548
0.537623,-0.036486
0.538376,-0.036554
0.53913,-0.036786
0.539883,-0.036584
0.540637,-0.036061
0.54139,-0.035556
0.542144,-0.034969
0.542897,-0.034415
0.543651,-0.034411
0.544404,-0.034719
0.545158,-0.034398
0.545911,-0.033634
0.546665,-0.033203
0.547418,-0.033117
0.548172,-0.03293
0.548925,-0.033174
0.549679,-0.032536
0.550432,-0.032612
0.551186,-0.032118
0.551939,-0.032188
0.552693,-0.032406
0.553446,-0.032422
0.5542,-0.032306
0.554953,-0.032258
0.555707,-0.032123
0.55646,-0.032236
0.557214,-0.032663
0.557967,-0.032274
0.558721,-0.031736
0.559474,-0.031265
0.560228,-0.030909
0.560981,-0.030748
0.561735,-0.030621
0.562488,-0.03035
0.563242,-0.030069
0.563995,-0.031108
0.564749,-0.031321
0.565502,-0.031195
0.566256,-0.031185
0.567009,-0.031529
0.567763,-0.031661
0.568516,-0.031472
0.56927,-0.031376
0.570023,-0.031542
0.570777,-0.031981
0.57153,-0.031849
0.572284,-0.031859
0.573037,-0.030705
0.573791,-0.030591
0.574544,-0.030632
0.575298,-0.030449
0.576051,-0.03008
0.576805,-0.029896
0.577558,-0.030173
0.578312,-0.030334
0.579065,-0.02938
0.579819,-0.029229
0.580572,-0.028913
0.581326,-0.028515
0.582079,-0.027732
0.582833,-0.027767
0.583586,-0.027823
0.58434,-0.027679
0.585093,-0.027383
0.585847,-0.026692
0.586601,-0.025937
0.587354,-0.025882
0.588107,-0.025463
0.588861,-0.024684
0.589615,-0.024925
0.590368,-0.02456
0.591122,-0.023993
0.591875,-0.023854
0.592628,-0.024086
0.593382,-0.023934
0.594136,-0.02329
0.594889,-0.022869
0.595643,-0.022229
0.596396,-0.021924
0.59715,-0.021353
0.597903,-0.02117
0.598657,-0.021016
0.59941,-0.021229
0.600164,-0.022017
0.600917,-0.022611
0.601671,-0.022733
0.602424,-0.022868
0.603178,-0.023085
0.603931,-0.023044
0.604685,-0.023311
0.605438,-0.022824
0.606192,-0.02309
0.606945,-0.022837
0.607699,-0.022468
0.608452,-0.022251
0.609206,-0.022258
0.609959,-0.022179
0.610713,-0.021726
0.611466,-0.020818
0.61222,-0.020661
0.612973,-0.020162
0.613727,-0.020031
0.61448,-0.020442
0.615234,-0.020464
0.615987,-0.020098
0.616741,-0.020193
0.617494,-0.020584
0.618248,-0.021162
0.619001,-0.020779
0.619755,-0.020409
0.620508,-0.020775
0.621262,-0.020746
0.622015,-0.02052
0.622769,-0.020291
0.623522,-0.020483
0.624276,-0.020953
0.625029,-0.021134
0.625783,-0.021292
0.626536,-0.021664
0.62729,-0.021384
0.628043,-0.021591
0.628797,-0.022037
0.62955,-0.022335
0.630304,-0.023099
