Volume,Abs
0.000446,0.01014
0.001125,0.011683
0.001805,0.012607
0.002484,0.013571
0.003164,0.014683
0.003843,0.015454
0.004522,0.016619
0.005202,0.017892
0.005881,0.018835
0.006561,0.020069
0.00724,0.021196
0.00792,0.022412
0.008599,0.023583
0.009278,0.024533
0.009958,0.025165
0.010637,0.025428
0.011317,0.0262
0.011996,0.02668
0.012676,0.026919
0.013355,0.027502
0.014034,0.027958
0.014714,0.029223
0.015393,0.030249
0.016073,0.031117
0.016752,0.032086
0.017431,0.033262
0.018111,0.034385
0.01879,0.035345
0.01947,0.036712
0.020149,0.038275
0.020828,0.039343
0.021508,0.039847
0.022187,0.040042
0.022867,0.040764
0.023546,0.04185
0.024226,0.042859
0.024905,0.043272
0.025584,0.042851
0.026264,0.043054
0.026943,0.043665
0.027623,0.044335
0.028302,0.044777
0.028981,0.045295
0.029661,0.045747
0.03034,0.045695
0.03102,0.046054
0.031699,0.047216
0.032379,0.048219
0.033058,0.048443
0.033737,0.049226
0.034417,0.050101
0.035096,0.0506
0.035776,0.050738
0.036455,0.052069
0.037135,0.05315
0.037814,0.053312
0.038493,0.053394
0.039173,0.053515
0.039852,0.052934
0.040532,0.052824
0.041211,0.052518
0.04189,0.052495
0.04257,0.052776
0.043249,0.053119
0.043929,0.053028
0.044608,0.051977
0.045287,0.051447
0.045967,0.0508
0.046646,0.049964
0.047326,0.049561
0.048005,0.049274
0.048685,0.049168
0.049364,0.049197
0.050043,0.049141
0.050723,0.048899
0.051402,0.048874
0.052082,0.049101
0.052761,0.04894
0.05344,0.048467
0.05412,0.047951
0.054799,0.04772
0.055479,0.047328
0.056158,0.046379
0.056838,0.045231
0.057517,0.044477
0.058196,0.044011
0.058876,0.042975
0.059555,0.042318
0.060235,0.042047
0.060914,0.041703
0.061594,0.040379
0.062273,0.039605
0.062952,0.03843
0.063632,0.037359
0.064311,0.036514
0.064991,0.035678
0.06567,0.035219
0.066349,0.035335
0.067029,0.035635
0.067708,0.035936
0.068388,0.036135
0.069067,0.03621
0.069746,0.035604
0.070426,0.035504
0.071105,0.035239
0.071785,0.034866
0.072464,0.034944
0.073144,0.034505
0.073823,0.034354
0.074502,0.034465
0.075182,0.034498
0.075861,0.034335
0.076541,0.034539
0.07722,0.034957
0.077899,0.034915
0.078579,0.034695
0.079258,0.034578
0.079938,0.034705
0.080617,0.03461
0.081297,0.035093
0.081976,0.035434
0.082655,0.03586
0.083335,0.036414
0.084014,0.036322
0.084694,0.035994
0.085373,0.035973
0.086053,0.036195
0.086732,0.036595
0.087411,0.037084
0.088091,0.037319
0.08877,0.037616
0.08945,0.038067
0.090129,0.038412
0.090808,0.038474
0.091488,0.038376
0.092167,0.039247
0.092847,0.039555
0.093526,0.039662
0.094205,0.039866
0.094885,0.040334
0.095564,0.040826
0.096244,0.041127
0.096923,0.041426
0.097603,0.041983
0.098282,0.042832
0.098961,0.043616
0.099641,0.043979
0.10032,0.044816
0.101,0.045635
0.101679,0.04591
0.102358,0.045549
0.103038,0.046739
0.103717,0.046988
0.104397,0.047854
