Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-1.025683,-0.009365,-1.025683,16.484392,-1.025683,0,0.000187,,-1.025683,Method Settings,15.081442,2,0,-1.311795
-1.024852,-0.04442,-1.024021,16.479692,-1.017374,0,,,-1.025579,Equilibration,17.081251,3,0.000831,-1.311795
-1.024021,-0.046081,-1.02236,16.479044,-1.009066,0,,,-0.002869,Sample Application,17.568722,Waste,0.001661,-1.311795
-1.023191,-0.047513,-1.020699,16.4776,-1.000757,0,,,1.196756,Elution,,,0.002492,-1.311795
-1.02236,-0.048502,-1.019037,16.473021,-0.992449,0,,,,,,,0.003323,-1.311795
-1.021529,-0.049386,-1.017376,16.473137,-0.98414,0,,,,,,,0.004153,-1.311795
-1.020699,-0.049065,-1.015715,16.47349,-0.975832,0,,,,,,,0.004984,-1.311795
-1.019868,-0.046432,-1.014053,16.473829,-0.967523,0,,,,,,,0.005815,-1.311795
-1.019037,-0.045158,-1.012392,16.474106,-0.959215,0,,,,,,,0.006645,-1.311795
-1.018207,-0.045253,-1.010731,16.474154,-0.950906,0,,,,,,,0.007476,-1.311795
-1.017376,-0.045335,-1.009069,16.474005,-0.942598,0,,,,,,,0.008307,-1.311795
-1.016545,-0.045088,-1.007408,16.473618,-0.934289,0,,,,,,,0.009137,-1.311795
-1.015715,-0.045095,-1.005747,16.473253,-0.925981,0,,,,,,,0.009968,-1.311795
-1.014884,-0.045161,-1.004085,16.472979,-0.917672,0,,,,,,,0.010799,-1.311795
-1.014053,-0.044967,-1.002424,16.472805,-0.909364,0,,,,,,,0.011629,-1.311795
-1.013223,-0.045151,-1.000763,16.472799,-0.901055,0,,,,,,,0.01246,-1.311795
-1.012392,-0.045025,-0.999101,16.472855,-0.892747,0,,,,,,,0.013291,-1.311795
-1.011561,-0.045198,-0.99744,16.472939,-0.884438,0,,,,,,,0.014121,-1.311795
-1.010731,-0.045462,-0.995779,16.473082,-0.87613,0,,,,,,,0.014952,-1.311795
-1.0099,-0.045602,-0.994117,16.473225,-0.867821,0,,,,,,,0.015783,-1.311795
-1.009069,-0.045104,-0.992456,16.473341,-0.859513,0,,,,,,,0.016613,-1.311795
-1.008239,-0.04513,-0.990795,16.473288,-0.851204,0,,,,,,,0.017444,-1.311795
-1.007408,-0.045238,-0.989133,16.473017,-0.842896,0,,,,,,,0.018275,-1.311795
-1.006577,-0.044884,-0.987472,16.47254,-0.834587,0,,,,,,,0.019105,-1.311795
-1.005747,-0.044464,-0.985811,16.471878,-0.826279,0,,,,,,,0.019936,-1.311795
-1.004916,-0.044867,-0.984149,16.471125,-0.81797,0,,,,,,,0.020767,-1.311795
-1.004085,-0.045517,-0.982488,16.470266,-0.809662,0,,,,,,,0.021597,-1.311795
-1.003255,-0.04573,-0.980827,16.46933,-0.801353,0,,,,,,,0.022428,-1.311795
-1.002424,-0.013554,-0.979165,16.468367,-0.793045,0,,,,,,,0.023259,-1.311795
-1.001593,-0.000448,-0.977504,16.467312,-0.784736,0,,,,,,,0.024089,-1.311795
-1.000763,-0.000209,-0.975843,16.466223,-0.776428,0,,,,,,,0.02492,-1.311795
-0.999932,-0.000355,-0.974181,16.465223,-0.768119,0,,,,,,,0.025751,-1.311795
-0.999101,-0.000463,-0.97252,16.464195,-0.759811,0,,,,,,,0.026581,-1.311795
-0.998271,-0.000464,-0.970859,16.463179,-0.751502,0,,,,,,,0.027412,-1.311795
-0.99744,-0.000531,-0.969197,16.462219,-0.743194,0,,,,,,,0.028243,-1.311795
-0.996609,-0.001347,-0.967536,16.461296,-0.734885,0,,,,,,,0.029073,-1.311795
-0.995779,-0.002486,-0.965875,16.460348,-0.726577,0,,,,,,,0.029904,-1.311795
-0.994948,-0.003116,-0.964213,16.459475,-0.718268,0,,,,,,,0.030735,-1.311795
-0.994117,-0.004029,-0.962552,16.458658,-0.70996,0,,,,,,,0.031565,-1.311795
