Volume,Abs
0.000187,0.014991
0.001018,0.017573
0.001848,0.019209
0.002679,0.0195
0.00351,0.01951
0.00434,0.019849
0.005171,0.020185
0.006002,0.020713
0.006832,0.020611
0.007663,0.020457
0.008494,0.02042
0.009324,0.020728
0.010155,0.02059
0.010986,0.02134
0.011816,0.0225
0.012647,0.02321
0.013478,0.024226
0.014308,0.025221
0.015139,0.025505
0.01597,0.026531
0.0168,0.027492
0.017631,0.027653
0.018462,0.027701
0.019292,0.027986
0.020123,0.028226
0.020954,0.028401
0.021784,0.028565
0.022615,0.028938
0.023446,0.029334
0.024276,0.029348
0.025107,0.029413
0.025938,0.029666
0.026768,0.030314
0.027599,0.030595
0.02843,0.030414
0.02926,0.030677
0.030091,0.030383
0.030922,0.030522
0.031752,0.030663
0.032583,0.031228
0.033414,0.031304
0.034244,0.031656
0.035075,0.031863
0.035905,0.031562
0.036736,0.031477
0.037567,0.031176
0.038398,0.031056
0.039228,0.031262
0.040059,0.032014
0.04089,0.032522
0.04172,0.032565
0.042551,0.033124
0.043381,0.033508
0.044212,0.034574
0.045043,0.035706
0.045874,0.036659
0.046704,0.03804
0.047535,0.037858
0.048365,0.038181
0.049196,0.03861
0.050027,0.03936
0.050857,0.039946
0.051688,0.040374
0.052519,0.040839
0.053349,0.040838
0.05418,0.041397
0.055011,0.042035
0.055841,0.042494
0.056672,0.043206
0.057503,0.042994
0.058333,0.043001
0.059164,0.043219
0.059995,0.043514
0.060825,0.044499
0.061656,0.045082
0.062487,0.045906
0.063317,0.046674
0.064148,0.047439
0.064979,0.0485
0.065809,0.049724
0.06664,0.050487
0.067471,0.051816
0.068301,0.052446
0.069132,0.052891
0.069963,0.053789
0.070793,0.053618
0.071624,0.054012
0.072455,0.054219
0.073285,0.054438
0.074116,0.055547
0.074947,0.056597
0.075777,0.057524
0.076608,0.058579
0.077439,0.059699
0.078269,0.060324
0.0791,0.061403
0.079931,0.062676
0.080761,0.063044
0.081592,0.06326
0.082423,0.064063
0.083253,0.065312
0.084084,0.066043
0.084915,0.067172
0.085745,0.067902
0.086576,0.068987
0.087407,0.069801
0.088237,0.070239
0.089068,0.071096
0.089899,0.073131
0.090729,0.074972
0.09156,0.076411
0.092391,0.077121
0.093221,0.078518
0.094052,0.079283
0.094883,0.080309
0.095713,0.080841
0.096544,0.081818
0.097375,0.082769
0.098205,0.084475
0.099036,0.086283
0.099867,0.087621
0.100697,0.089088
0.101528,0.09012
0.102359,0.090623
0.103189,0.091616
0.10402,0.092237
0.104851,0.093002
0.105681,0.094057
0.106512,0.094468
0.107343,0.09518
0.108173,0.096291
0.109004,0.096515
0.109835,0.09714
0.110665,0.098824
0.111496,0.099937
0.112327,0.101938
0.113157,0.104929
0.113988,0.107629
0.114819,0.110117
0.115649,0.111805
0.11648,0.114069
0.117311,0.115533
0.118141,0.117258
0.118972,0.11896
0.119803,0.121002
0.120633,0.122735
0.121464,0.123875
0.122295,0.126085
0.123125,0.128188
0.123956,0.129386
0.124786,0.131606
0.125617,0.133069
0.126448,0.134701
0.127279,0.136072
0.128109,0.137154
0.12894,0.138866
0.129771,0.141721
0.130601,0.144181
0.131432,0.145686
0.132262,0.147605
0.133093,0.150095
0.133924,0.153055
0.134755,0.155737
0.135585,0.158462
0.136416,0.161562
0.137246,0.165699
0.138077,0.169334
0.138908,0.172863
0.139738,0.176489
0.140569,0.18057
0.1414,0.185355
0.142231,0.190172
0.143061,0.195006
0.143892,0.200804
0.144722,0.206039
0.145553,0.211313
0.146384,0.216922
0.147214,0.222462
0.148045,0.228559
0.148876,0.233785
0.149706,0.238806
0.150537,0.244239
0.151368,0.24914
0.152198,0.253658
0.153029,0.258938
0.15386,0.26369
0.15469,0.267681
0.155521,0.271827
0.156352,0.276717
0.157182,0.280955
0.158013,0.284633
0.158844,0.289098
0.159674,0.293595
0.160505,0.297723
0.161336,0.302682
0.162166,0.307956
0.162997,0.313033
0.163828,0.317711
0.164658,0.321847
0.165489,0.326678
0.16632,0.33054
0.16715,0.335014
0.167981,0.338626
0.168812,0.34264
0.169642,0.346865
0.170473,0.351429
0.171304,0.354972
0.172134,0.358484
0.172965,0.361953
0.173796,0.365382
0.174626,0.368099
0.175457,0.371407
0.176288,0.373678
0.177118,0.376566
0.177949,0.379465
0.17878,0.381596
0.17961,0.383008
0.180441,0.384296
0.181272,0.385603
0.182102,0.385813
0.182933,0.385387
0.183764,0.385308
0.184594,0.385626
0.185425,0.385834
0.186256,0.38562
0.187086,0.385277
0.187917,0.384512
0.188748,0.383812
0.189578,0.382932
0.190409,0.382311
0.19124,0.381944
0.19207,0.381188
0.192901,0.380807
0.193732,0.380505
0.194562,0.379507
0.195393,0.378618
0.196224,0.37754
0.197054,0.376282
0.197885,0.374773
0.198716,0.373625
0.199546,0.372968
0.200377,0.371911
0.201208,0.370651
0.202038,0.369866
0.202869,0.368755
0.2037,0.367197
0.20453,0.365947
0.205361,0.364433
0.206192,0.362856
0.207022,0.361405
0.207853,0.359971
0.208683,0.358879
0.209514,0.358074
0.210345,0.357054
0.211176,0.356412
0.212006,0.355477
0.212837,0.354348
0.213668,0.353045
0.214498,0.352051
0.215329,0.350905
0.216159,0.3499
0.21699,0.34883
0.217821,0.348468
0.218652,0.347367
0.219482,0.345944
0.220313,0.344472
0.221143,0.343734
0.221974,0.343438
0.222805,0.342514
0.223635,0.341549
0.224466,0.340912
0.225297,0.340272
0.226128,0.339226
0.226958,0.337679
0.227789,0.336732
0.228619,0.335749
0.22945,0.335076
0.230281,0.334588
0.231111,0.334091
0.231942,0.333828
0.232773,0.3332
0.233603,0.332768
0.234434,0.332502
0.235265,0.331914
0.236095,0.331446
0.236926,0.33087
0.237757,0.330394
0.238587,0.329649
0.239418,0.32895
0.240249,0.328313
0.241079,0.327594
0.24191,0.326997
0.242741,0.326578
0.243571,0.32618
0.244402,0.325506
0.245233,0.324709
0.246063,0.324005
0.246894,0.323518
0.247725,0.323402
0.248555,0.322642
0.249386,0.32226
0.250217,0.321811
0.251047,0.321007
0.251878,0.321081
0.252709,0.320844
0.253539,0.320074
0.25437,0.319302
0.255201,0.318368
0.256031,0.317817
0.256862,0.317128
0.257693,0.3168
0.258523,0.316411
0.259354,0.315791
0.260185,0.315533
0.261015,0.315478
0.261846,0.315672
0.262677,0.315999
0.263507,0.315373
0.264338,0.315244
0.265169,0.315399
0.265999,0.315377
0.26683,0.315451
0.267661,0.315788
0.268491,0.316321
0.269322,0.31629
0.270153,0.31607
0.270983,0.316412
0.271814,0.315987
0.272645,0.315672
0.273475,0.315397
0.274306,0.315293
0.275137,0.31536
0.275967,0.314908
0.276798,0.31482
0.277629,0.315006
0.278459,0.314847
0.27929,0.314767
0.280121,0.315363
0.280951,0.316059
0.281782,0.316315
0.282613,0.316551
0.283443,0.317101
0.284274,0.317322
0.285105,0.317263
0.285935,0.317194
0.286766,0.31715
0.287597,0.317165
0.288427,0.31701
0.289258,0.317132
0.290089,0.317713
0.290919,0.318201
0.29175,0.318758
0.292581,0.319418
0.293411,0.319526
0.294242,0.319535
0.295073,0.319718
0.295903,0.320243
0.296734,0.320824
0.297565,0.320864
0.298395,0.321587
0.299226,0.321664
0.300057,0.321787
0.300887,0.321651
0.301718,0.321073
0.302549,0.321405
0.303379,0.32131
0.30421,0.320723
0.30504,0.320944
0.305871,0.320499
0.306702,0.319771
0.307533,0.319699
